trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude
demo_trip_000000,demo_taxi_0010,2024-03-22T19:38:20.000,2024-03-22T19:48:27.000,607,3.77,,,69.0,54.0,13.0,2.44,0.0,0.0,15.44,Credit Card,Demo Flash Cab,41.751549066333276,-87.62660844900141,41.67792026991733,-87.61080801659489
demo_trip_000001,demo_taxi_0092,2024-03-05T13:42:13.000,2024-03-05T13:56:02.000,829,3.24,,,29.0,59.0,16.09,0.0,0.0,0.0,16.09,Cash,Demo Flash Cab,41.86342198911536,-87.6996325948565,41.82771184661044,-87.66175568705705
demo_trip_000002,demo_taxi_0078,2024-03-12T22:16:31.000,2024-03-12T22:52:39.000,2168,17.93,,,36.0,36.0,79.38,0.0,0.0,2.54,81.92,Credit Card,Demo Taxi Co,41.82867902631993,-87.60145727639438,41.82872571576511,-87.60914411775289
demo_trip_000003,demo_taxi_0052,2024-03-13T17:21:39.000,2024-03-13T17:48:29.000,1610,11.02,,,11.0,35.0,51.27,11.42,0.0,0.0,62.69,Credit Card,Demo Flash Cab,41.978372027894494,-87.76406367074694,41.8444849787529,-87.6228474950129
demo_trip_000004,demo_taxi_0051,2024-03-20T07:56:15.000,2024-03-20T08:07:43.000,688,1.82,,,75.0,69.0,6.4,0.98,0.0,0.0,7.38,Cash,Demo City Service,41.69277211869325,-87.65484479625725,41.7593974901081,-87.6112375930585
demo_trip_000005,demo_taxi_0103,2024-03-06T20:51:46.000,2024-03-06T21:25:07.000,2001,9.82,,,75.0,75.0,38.93,0.0,0.0,0.0,38.93,Credit Card,Demo Flash Cab,41.69077625392449,-87.67811945895158,41.69257615403685,-87.6525147454195
demo_trip_000006,demo_taxi_0010,2024-03-13T14:24:38.000,2024-03-13T14:54:12.000,1774,15.36,,,75.0,1.0,55.7,5.78,0.0,0.0,61.48,No Charge,Demo Sun Taxi,41.682205504317,-87.68541719631799,42.00351411741474,-87.65942371093718
demo_trip_000007,demo_taxi_0083,2024-03-07T07:14:09.000,2024-03-07T07:19:59.000,350,1.51,,,1.0,69.0,5.47,0.0,0.0,0.0,5.47,Cash,Demo Sun Taxi,42.010175636425004,-87.67727965540351,41.76249883032528,-87.61323595436549
demo_trip_000008,demo_taxi_0024,2024-03-20T07:18:56.000,2024-03-20T07:32:24.000,808,6.16,,,69.0,5.0,17.37,3.82,0.0,1.06,22.25,Credit Card,Demo Sun Taxi,41.77441823173915,-87.62140012255358,41.93939234105487,-87.68789797669406
demo_trip_000009,demo_taxi_0011,2024-03-17T17:32:02.000,2024-03-17T18:06:16.000,2054,0.0,,,36.0,6.0,27.68,5.57,0.0,2.6,35.85,No Charge,Demo Flash Cab,41.82212300665335,-87.60052264201254,41.94566084536581,-87.66200632015992
