time,temperature_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,windspeed_10m,windgusts_10m,weather_code,cloud_cover,zone,latitude,longitude
2024-03-04 00:00:00,-0.9,-2.2,0.0,0.0,0.0,0.0,26.2,33.6,0,61,0,41.88575002073601,-87.62881448348256
2024-03-04 01:00:00,1.0,-0.7,0.0,0.0,0.0,0.0,9.7,20.7,3,30,0,41.88575002073601,-87.62881448348256
2024-03-04 02:00:00,0.7,-1.8,0.0,0.0,0.0,0.0,16.2,29.5,1,100,0,41.88575002073601,-87.62881448348256
2024-03-04 03:00:00,0.1,-1.0,0.0,0.0,0.0,0.0,14.4,22.6,61,62,0,41.88575002073601,-87.62881448348256
2024-03-04 04:00:00,3.3,1.0,0.0,0.0,0.0,0.0,13.9,26.8,0,24,0,41.88575002073601,-87.62881448348256
2024-03-04 05:00:00,5.3,3.5,0.0,0.0,0.0,0.0,11.4,13.4,3,82,0,41.88575002073601,-87.62881448348256
2024-03-04 06:00:00,5.4,3.3,0.0,0.0,0.0,0.0,10.6,24.4,0,28,0,41.88575002073601,-87.62881448348256
2024-03-04 07:00:00,1.6,-0.3,0.0,0.0,0.0,0.0,31.1,43.4,3,72,0,41.88575002073601,-87.62881448348256
2024-03-04 08:00:00,6.4,5.0,0.0,0.0,0.0,0.0,34.7,38.4,3,81,0,41.88575002073601,-87.62881448348256
2024-03-04 09:00:00,6.6,4.9,0.0,0.0,0.0,0.0,9.8,20.6,3,100,0,41.88575002073601,-87.62881448348256
2024-03-04 10:00:00,4.4,1.7,0.0,0.0,0.0,0.0,28.7,37.4,1,61,0,41.88575002073601,-87.62881448348256
2024-03-04 11:00:00,5.9,3.7,0.0,0.0,0.0,0.0,11.8,26.4,0,56,0,41.88575002073601,-87.62881448348256
2024-03-04 12:00:00,9.2,7.2,0.33,0.33,0.0,0.0,20.7,26.6,71,4,0,41.88575002073601,-87.62881448348256
2024-03-04 13:00:00,8.1,5.7,0.0,0.0,0.0,0.0,10.9,20.8,0,44,0,41.88575002073601,-87.62881448348256
2024-03-04 14:00:00,7.6,6.2,0.0,0.0,0.0,0.0,13.1,21.9,0,37,0,41.88575002073601,-87.62881448348256
2024-03-04 15:00:00,5.9,4.7,0.0,0.0,0.0,0.0,17.3,22.2,0,50,0,41.88575002073601,-87.62881448348256
2024-03-04 16:00:00,7.6,5.5,0.0,0.0,0.0,0.0,26.2,38.7,2,42,0,41.88575002073601,-87.62881448348256
2024-03-04 17:00:00,3.2,2.2,0.0,0.0,0.0,0.0,19.2,30.9,3,75,0,41.88575002073601,-87.62881448348256
2024-03-04 18:00:00,2.7,1.4,0.0,0.0,0.0,0.0,29.3,38.4,3,41,0,41.88575002073601,-87.62881448348256
2024-03-04 19:00:00,2.5,0.1,0.0,0.0,0.0,0.0,7.9,22.2,1,67,0,41.88575002073601,-87.62881448348256
2024-03-04 20:00:00,-0.3,-3.1,0.0,0.0,0.0,0.0,22.2,36.2,2,52,0,41.88575002073601,-87.62881448348256
2024-03-04 21:00:00,-0.2,-1.7,0.0,0.0,0.0,0.0,8.2,20.8,61,39,0,41.88575002073601,-87.62881448348256
2024-03-04 22:00:00,2.1,0.4,0.0,0.0,0.0,0.0,8.5,12.5,2,37,0,41.88575002073601,-87.62881448348256
2024-03-04 23:00:00,-1.1,-3.5,0.0,0.0,0.0,0.0,14.3,27.9,1,61,0,41.88575002073601,-87.62881448348256
2024-03-05 00:00:00,1.2,-1.4,0.0,0.0,0.0,0.0,8.1,14.1,61,89,0,41.88575002073601,-87.62881448348256
2024-03-05 01:00:00,1.1,-0.4,1.03,1.03,0.0,0.0,28.3,37.7,71,37,0,41.88575002073601,-87.62881448348256
2024-03-05 02:00:00,0.3,-2.4,0.0,0.0,0.0,0.0,20.2,34.9,2,56,0,41.88575002073601,-87.62881448348256
2024-03-05 03:00:00,-1.0,-3.9,0.0,0.0,0.0,0.0,24.3,29.3,1,67,0,41.88575002073601,-87.62881448348256
2024-03-05 04:00:00,2.1,0.9,0.0,0.0,0.0,0.0,6.7,11.3,61,55,0,41.88575002073601,-87.62881448348256
2024-03-05 05:00:00,-0.2,-1.7,0.0,0.0,0.0,0.0,11.7,24.8,3,11,0,41.88575002073601,-87.62881448348256
2024-03-05 06:00:00,3.2,0.8,0.0,0.0,0.0,0.0,20.7,22.9,0,67,0,41.88575002073601,-87.62881448348256
2024-03-05 07:00:00,5.4,4.3,1.89,1.89,0.0,0.0,7.5,11.7,61,17,0,41.88575002073601,-87.62881448348256
2024-03-05 08:00:00,7.3,5.7,0.0,0.0,0.0,0.0,9.8,16.1,2,18,0,41.88575002073601,-87.62881448348256
2024-03-05 09:00:00,6.6,3.9,0.0,0.0,0.0,0.0,5.7,17.3,2,22,0,41.88575002073601,-87.62881448348256
2024-03-05 10:00:00,6.6,4.2,0.0,0.0,0.0,0.0,32.3,40.6,1,51,0,41.88575002073601,-87.62881448348256
2024-03-05 11:00:00,6.8,4.6,0.0,0.0,0.0,0.0,17.9,25.1,0,31,0,41.88575002073601,-87.62881448348256
2024-03-05 12:00:00,7.3,5.1,0.0,0.0,0.0,0.0,6.4,20.3,0,19,0,41.88575002073601,-87.62881448348256
2024-03-05 13:00:00,8.8,6.8,0.0,0.0,0.0,0.0,18.8,30.6,0,64,0,41.88575002073601,-87.62881448348256
2024-03-05 14:00:00,8.0,5.5,0.0,0.0,0.0,0.0,31.6,41.9,1,54,0,41.88575002073601,-87.62881448348256
2024-03-05 15:00:00,6.8,4.1,0.0,0.0,0.0,0.0,10.7,17.1,2,74,0,41.88575002073601,-87.62881448348256
2024-03-05 16:00:00,6.9,4.4,0.0,0.0,0.0,0.0,12.1,25.3,1,37,0,41.88575002073601,-87.62881448348256
2024-03-05 17:00:00,5.0,3.1,0.0,0.0,0.0,0.0,34.5,39.8,1,53,0,41.88575002073601,-87.62881448348256
2024-03-05 18:00:00,2.0,-0.6,0.0,0.0,0.0,0.0,30.6,44.9,0,75,0,41.88575002073601,-87.62881448348256
2024-03-05 19:00:00,1.3,-1.2,0.0,0.0,0.0,0.0,21.5,26.8,3,22,0,41.88575002073601,-87.62881448348256
2024-03-05 20:00:00,2.9,1.0,0.0,0.0,0.0,0.0,10.6,23.2,3,38,0,41.88575002073601,-87.62881448348256
2024-03-05 21:00:00,-0.9,-2.6,0.0,0.0,0.0,0.0,11.6,25.5,1,80,0,41.88575002073601,-87.62881448348256
2024-03-05 22:00:00,-0.0,-1.9,0.0,0.0,0.0,0.0,30.8,35.8,0,55,0,41.88575002073601,-87.62881448348256
2024-03-05 23:00:00,-0.0,-2.0,0.0,0.0,0.0,0.0,25.3,30.2,0,51,0,41.88575002073601,-87.62881448348256
2024-03-06 00:00:00,-1.6,-2.8,0.0,0.0,0.0,0.0,15.5,18.6,2,54,0,41.88575002073601,-87.62881448348256
2024-03-06 01:00:00,-2.4,-3.8,0.0,0.0,0.0,0.0,5.8,12.2,3,86,0,41.88575002073601,-87.62881448348256
2024-03-06 02:00:00,-1.2,-2.4,0.0,0.0,0.0,0.0,9.1,17.6,3,54,0,41.88575002073601,-87.62881448348256
2024-03-06 03:00:00,-1.5,-2.7,0.0,0.0,0.0,0.0,26.9,30.0,3,56,0,41.88575002073601,-87.62881448348256
2024-03-06 04:00:00,2.9,0.8,0.0,0.0,0.0,0.0,24.5,28.4,3,55,0,41.88575002073601,-87.62881448348256
